Draw Date ,s0,s0+,s1,s1+,s2,s2+,s3,s3+,s4,s4+,s5,s5+,s6
2018-03-03,1105,167,1082,128,360,27,51,4,2,0,0,0,1
2018-02-28,1110,188,1053,159,330,44,42,0,0,0,0,0,1
2018-02-24,1042,186,1068,152,373,46,51,2,4,2,0,0,1
2018-02-21,1082,185,1098,132,345,29,47,7,1,0,0,0,1
2018-02-17,1092,167,1094,139,343,33,51,4,3,0,0,0,1
2018-02-14,1076,177,1124,128,324,40,45,5,7,0,0,0,1
2018-02-10,1072,153,1102,158,359,32,44,2,4,0,0,0,1
2018-02-07,1099,176,1050,147,370,34,47,0,3,0,0,0,1
2018-02-03,1114,181,1047,143,357,36,45,3,0,0,0,0,1
2018-01-31,1102,178,1072,130,353,40,45,6,0,0,0,0,1
2018-01-27,1127,171,1025,141,361,42,54,1,4,0,0,0,1
2018-01-24,1093,206,1021,141,368,37,52,4,4,0,0,0,1
2018-01-20,1105,166,1074,137,352,44,42,2,4,0,0,0,1
2018-01-17,1116,166,1037,149,356,31,63,6,2,0,0,0,1
2018-01-13,1029,176,1141,138,343,37,54,4,4,0,0,0,1
2018-01-10,1093,177,1050,160,345,40,57,1,3,0,0,0,1
2018-01-06,1047,179,1137,145,340,27,40,7,4,0,0,0,1
2018-01-03,1081,179,1053,152,382,19,53,3,3,1,0,0,1
2017-12-30,1099,177,1050,147,365,42,41,2,3,0,0,0,1
2017-12-27,1055,184,1094,147,366,30,45,1,4,0,0,0,1
2017-12-23,1101,166,1067,145,351,43,48,5,0,0,0,0,1
2017-12-20,1132,166,1071,135,340,24,55,2,1,0,0,0,1
2017-12-16,1066,171,1093,148,355,43,45,3,2,0,0,0,1
2017-12-13,1114,150,1075,131,361,34,52,6,3,0,0,0,1
2017-12-09,1121,199,1017,146,340,38,57,4,4,0,0,0,1
2017-12-06,1101,203,1053,139,336,31,57,1,5,0,0,0,1
2017-12-02,1108,191,1040,136,341,40,64,3,3,0,0,0,1
2017-11-29,1104,183,1084,135,310,40,63,5,2,0,0,0,1
2017-11-25,1115,168,1058,144,354,44,36,4,3,0,0,0,1
2017-11-22,1142,167,1027,136,355,42,52,2,3,0,0,0,1
2017-11-18,1075,178,1105,135,353,33,43,3,1,0,0,0,1
2017-11-15,1086,195,1099,137,330,27,46,4,1,1,0,0,1
2017-11-11,1130,177,1065,136,328,39,45,3,3,0,0,0,1
2017-11-08,1088,197,1039,154,353,34,50,7,4,0,0,0,1
2017-11-04,1077,173,1061,138,383,37,54,3,0,0,0,0,1
2017-11-01,1113,213,1023,124,368,37,41,4,3,0,0,0,1
2017-10-28,1084,168,1113,141,339,37,36,5,3,0,0,0,1
2017-10-25,1108,198,1008,149,378,36,46,1,1,1,0,0,1
2017-10-21,1129,171,1060,140,333,35,53,4,1,0,0,0,1
2017-10-18,1075,175,1091,139,353,33,54,3,2,1,0,0,1
2017-10-14,1075,187,1080,147,328,48,55,4,2,0,0,0,1
2017-10-11,1091,170,1065,149,361,29,54,2,5,0,0,0,1
2017-10-07,1097,189,1062,145,335,32,57,6,3,0,0,0,1
2017-10-04,1068,188,1079,139,358,35,52,5,2,0,0,0,1
2017-09-30,1087,163,1094,135,366,35,42,3,1,0,0,0,1
2017-09-27,1107,180,1085,131,330,36,50,6,1,0,0,0,1
2017-09-23,1072,209,1058,156,354,24,51,1,1,0,0,0,1
2017-09-20,1095,167,1095,144,347,28,46,1,3,0,0,0,1
2017-09-16,1165,155,995,155,372,35,44,3,2,0,0,0,1
2017-09-13,1069,198,1069,153,341,34,56,5,1,0,0,0,1
2017-09-09,1087,156,1076,147,362,31,61,6,0,0,0,0,1
2017-09-06,1023,160,1104,155,387,33,54,4,6,0,0,0,1
2017-09-02,1118,185,1037,139,364,32,45,5,1,0,0,0,1
2017-08-30,1089,177,1109,153,326,27,38,6,1,0,0,0,1
2017-08-26,1096,192,1043,146,356,38,46,4,5,0,0,0,1
2017-08-23,1104,199,1075,124,333,41,44,5,1,0,0,0,1
2017-08-19,1099,188,1050,139,364,27,52,4,3,0,0,0,1
2017-08-16,1086,192,1076,145,345,26,50,4,1,1,0,0,1
2017-08-12,1103,156,1059,148,364,30,56,6,4,0,0,0,1
2017-08-09,1088,187,1031,148,363,41,64,1,3,0,0,0,1
2017-08-05,1101,177,1033,147,382,33,45,4,3,1,0,0,1
2017-08-02,1065,192,1091,132,342,38,61,4,1,0,0,0,1
2017-07-29,1134,191,1035,118,350,28,64,2,4,0,0,0,1
2017-07-26,1112,185,1079,139,314,35,55,4,3,0,0,0,1
2017-07-22,1132,168,1051,137,368,26,40,3,0,1,0,0,1
2017-07-19,1109,172,1080,121,348,39,49,2,6,0,0,0,1
2017-07-15,1064,180,1084,139,372,36,46,2,3,0,0,0,1
2017-07-12,1093,188,1053,137,360,38,53,1,2,0,1,0,1
2017-07-08,1098,173,1079,144,342,39,44,5,2,0,0,0,1
2017-07-05,1118,172,1053,131,357,31,55,2,4,2,1,0,1
2017-07-01,1087,179,1052,134,360,41,63,6,4,0,0,0,1
2017-06-28,1119,187,1007,130,366,40,62,10,3,2,0,0,1
2017-06-24,1120,206,1045,116,347,33,51,6,2,0,0,0,1
2017-06-21,1120,188,1038,136,349,37,52,2,4,0,0,0,1
2017-06-17,1108,161,1067,137,369,35,47,1,0,1,0,0,1
2017-06-14,1113,199,1034,145,348,30,49,5,3,0,0,0,1
2017-06-10,1071,167,1104,132,351,43,50,2,3,3,0,0,1
2017-06-07,1099,154,1074,165,344,34,49,6,1,0,0,0,1
2017-06-03,1104,181,1042,135,366,41,49,3,5,0,0,0,1
2017-05-31,1108,185,1033,147,363,34,45,7,4,0,0,0,1
2017-05-27,1068,173,1113,129,348,38,46,10,1,0,0,0,1
2017-05-24,1080,177,1066,144,372,34,46,4,2,0,1,0,1
2017-05-20,1111,200,1053,126,347,40,40,6,2,1,0,0,1
2017-05-17,1130,164,1061,156,331,35,47,1,1,0,0,0,1
2017-05-13,1093,178,1090,153,331,26,52,1,2,0,0,0,1
2017-05-10,1115,159,1089,157,313,30,58,4,1,0,0,0,1
2017-05-06,1069,163,1090,156,360,41,43,2,2,0,0,0,1
2017-05-03,1087,178,1050,125,396,31,55,0,4,0,0,0,1
2017-04-29,1055,188,1084,150,351,35,56,2,5,0,0,0,1
2017-04-26,1102,185,1037,148,364,35,48,4,3,0,0,0,1
2017-04-22,1093,186,1108,118,342,30,46,1,2,0,0,0,1
2017-04-19,1102,206,1031,137,362,41,42,3,2,0,0,0,1
2017-04-15,1048,165,1123,145,354,34,51,4,1,0,1,0,1
2017-04-12,1061,166,1099,150,354,37,52,5,2,0,0,0,1
2017-04-08,1134,167,1056,125,348,33,50,9,3,1,0,0,1
2017-04-05,1095,155,1087,135,365,39,46,3,1,0,0,0,1
2017-04-01,1090,195,1076,121,336,32,63,8,5,0,0,0,1
2017-03-29,1140,148,1105,144,304,27,49,6,3,0,0,0,1
2017-03-25,1094,156,1095,141,344,33,53,5,5,0,0,0,1
2017-03-22,1121,191,1060,130,347,27,44,5,1,0,0,0,1
2017-03-18,1101,180,1045,173,338,34,47,4,4,0,0,0,1
2017-03-15,1066,204,1082,129,347,46,49,2,1,0,0,0,1
2017-03-11,1106,166,1076,142,340,41,48,6,1,0,0,0,1
2017-03-08,1113,158,1073,130,364,34,49,1,4,0,0,0,1
2017-03-04,1129,179,1056,132,335,32,58,3,1,1,0,0,1
2017-03-01,1063,185,1057,134,383,42,51,7,4,0,0,0,1
2017-02-25,1119,170,1052,147,359,31,47,0,0,1,0,0,1
2017-02-22,1092,186,1025,154,390,27,46,3,3,0,0,0,1
2017-02-18,1094,186,1062,122,371,39,46,4,2,0,0,0,1
2017-02-15,1111,188,1025,132,376,38,52,2,2,0,0,0,1
2017-02-11,1126,183,1052,144,342,28,45,5,1,0,0,0,1
